@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
62,'2020/05/04 09:22:57:457',1,105.647285,4.352647,109.538574,1,1,0.361113,0.971249
63,'2020/05/04 09:22:57:465',1,105.647285,4.352647,112.845764,1,1,0.361113,0.971249
64,'2020/05/04 09:22:57:465',1,105.647285,4.246297,112.845764,1,1,0.361113,0.971249
65,'2020/05/04 09:22:57:465',1,105.45137,4.246297,112.845764,1,1,0.361113,0.971249
66,'2020/05/04 09:22:57:475',1,105.45137,4.246297,111.738449,1,1,0.361113,0.971249
67,'2020/05/04 09:22:57:476',1,105.45137,4.052928,111.738449,1,1,0.361113,0.971249
68,'2020/05/04 09:22:57:476',1,105.327995,4.052928,111.738449,1,1,0.361113,0.971249
69,'2020/05/04 09:22:57:485',1,105.327995,4.052928,110.156631,1,1,0.361113,0.971249
70,'2020/05/04 09:22:57:485',1,105.327995,4.071414,110.156631,1,1,0.361113,0.971249
71,'2020/05/04 09:22:57:486',1,105.411072,4.071414,110.156631,1,1,0.361113,0.971249
72,'2020/05/04 09:22:57:497',1,105.411072,4.071414,109.418259,1,1,0.361113,0.971249
73,'2020/05/04 09:22:57:497',1,105.411072,4.023507,109.418259,1,1,0.361113,0.971249
74,'2020/05/04 09:22:57:497',1,105.321182,4.023507,109.418259,1,1,0.361113,0.971249
75,'2020/05/04 09:22:57:507',1,105.321182,4.023507,108.886948,1,1,0.361113,0.971249
76,'2020/05/04 09:22:57:507',1,105.321182,3.874737,108.886948,1,1,0.361113,0.971249
77,'2020/05/04 09:22:57:508',1,105.501228,3.874737,108.886948,1,1,0.361113,0.971249
78,'2020/05/04 09:22:57:526',1,105.501228,3.874737,111.324669,1,1,0.361113,0.971249
79,'2020/05/04 09:22:57:526',1,105.501228,3.882728,111.324669,1,1,0.361113,0.971249
80,'2020/05/04 09:22:57:526',1,105.637383,3.882728,111.324669,1,1,0.361113,0.971249
81,'2020/05/04 09:22:57:536',1,105.637383,3.882728,111.280365,1,1,0.361113,0.971249
82,'2020/05/04 09:22:57:536',1,105.637383,3.816464,111.280365,1,1,0.361113,0.971249
83,'2020/05/04 09:22:57:536',1,105.501228,3.816464,111.280365,1,1,0.361113,0.971249
84,'2020/05/04 09:22:57:546',1,105.501228,3.816464,111.300674,1,1,0.361113,0.971249
85,'2020/05/04 09:22:57:547',1,105.501228,3.809994,111.300674,1,1,0.361113,0.971249
